,tweet
0,<kategoliday> Smallpox blankets?
1,CreamyArtist> She’s. . .. kinda fallen into one of her low moods again.   ❝. . . I’m not getting out of bed!❞   She’s completely covered by her blankets—
2,matt_everson> Normalcy bias. Wait until there's people on cots and blankets in hospital parking lots. At least it seems we're shutting the country down. It's the fastest way out of this mess.
3,ManOnFi53753238> Made sure that everyone knew exactly what to do in case syrens went off. All the windows were covered in thick wool black blankets so Japanese pilots couldn't see anything.  They had the syrens go off several times.  My mom was very young but she remembers being so scared.  My
4,Katskratchh> Is it reasonable to bring all my blankets into my office and sleep next to my computer all night or no?
5,TuckerAnalise> “Why’d the security allow them to bring in their blankets but not ur fanny????” “Sasha babe that’s a pash”
6,AUC31> Never accept the buffalo meat and blankets promises! He will promise anything and afterwards - You will be asking like Cochise and Redcloud did - but the food never came & they were hanged for leaving the reservation. Their people were told their chiefs lied to them 
7,AmberDawnGlover> Sweaters & blankets 
8,smmrky> i know i’m going to wake up freezing but i still leave my window open bc i like being able to use three blankets to fall asleep
9,fastnouns> The Redesigns and the Blankets: Tokyo Drift
10,bbhutch10> I seriously have an obsession for blankets. Literally sleep with 5 each night...
11,Unsilent17> last night was the worst one yet - woke up 3 times thinking someone might be trying to arkancide me the way the blankets were wrapped up 
12,myaareid> making it my BUSINESS to have plenty “sleepover blankets” for guests....there was nothing worse than spending the night at somebody house and you end up w a shitty blanket or.....none at all lol!!
13,mswanson> Right but the whites that speak English. They bring germ ridden blankets.
14,pramodbalaganur>  Fumigation of railway coaches required after every journey. Ask passengers to bring their own blankets. 
15,StephNicoleee_> Who knew aunt duties included spider hunting at 10pm. This kid had me in her room shaking out blankets for 10 minutes. No spiders.
16,ThExpressOutlet> Does anyone else have a cat who has something against heavy blankets?   …
17,rchlnielsen> Learn to make your own receiving blankets. They're so easy and inexpensive! You just need a sewing m   …
18,pramodbalaganur>  Fumigation of coaches required after every journey. Ask passengers to bring their own blankets. 
19,Still_Birdy> I’m about to crochet hella blankets
20,BringHockeyBack> That could be cool! Minus the blankets wouldn’t be ready to go until quarintine is over
21,Ultimanza> Oh yeah I also have snacks and blankets that just came out of the dryer   …
22,Stonecolddbjc> And the pillows and blankets disappeared of the airlines; need to be replaced BTW
23,DonJoeyto> I don't recall any american natives handing out smallpox blankets. And stop being a wierdo and calling people goofy on twitter.
24,indigenista_> yoooo. i am reminded of how wicked settlers were to have distributed small pox infected wool blankets to ancestors. damn.    …
25,matangi2020> ME SNUGGED TF UP IN MY BLANKETS   …
26,Deklin2828>  a Cariloha $50 Gift Card! Try their plush bamboo blankets!   US/CAN 3/15    
27,Jaimedabest_> nun beats the smell of freshly washed blankets
28,fifthmysterys> ( rips the fucking blankets off the bed )
29,STANTRlGGER> - pandas - people who help you with math - shiny stickers - tacky christmas cards - cookies - rainbows - onesies - fluffy socks - giant boxes of crayons - coloring books - heart emojis - fluffy blankets - soft hugs - colorful flower boxes - kyoto animation's art style
30,glittercalavera>  pic.twitter.com/80th1uR5Sz
31,Ronlerrr> Them weighted blankets ain’t no joke lol
32,Stonecolddbjc> I hope in a few months we’ll find out it was a social media disease!  I remember during H1N1 they  took the pillows and blankets of the airplanes.  (Never to be returned).  I was exposed to Agent Orange; maybe that will save us!
33,JaipuriMart> Multi Color Polka Dot Indian Traditional 100% Cotton Vintage Handmade Kantha Quilt Bedspread Bohemian Bedding Throws Blankets Bed Room Décor    via 
34,ramonferrandis> The modern-day version of smallpox blankets. And we helped this murderer to power.   …
35,"thesavagecage> When I read the Title “blanket Ban” I thought WTf ⁦ dumb ass doing Banning blankets.  I also figured he did since he is a lunatic.         ""Ground News""  …"
36,Viveros_Gaming> Y’all about to get karma for all those smallpox blankets get ready for the fuckin plague  Last time Europe didn’t know how to manage transmissible diseases you lost hundreds of millions of people - in a world of less than half a billion. What happens this time?   …
37,kamxdo> Pom sleeb. Curled up in a little nest of pillows and blankets and burying himself in them.
38,cowgirlMandielk> You quot ripling the blankets offf me its Mandiel Flores
39,symonebartenura> Alex puts my blankets in the dryer before I get out the bathroom. Is that love?
40,Emonightmare42> Patton curls up under Logan's blankets as he waits.  Roman does start to wake up slightly.  Deceit sighs and runs after them. Coffee barks happily and keeps running ahead of Remy
41,deisum> Are you suggesting donating plague blankets to nursing homes?
